Time,Reporter,Type,Content,Screenshot,RTF Note
01.12.2016 19:30:00,Michał Janyszek,(Rapid Reporter version),"1.16.05.20",,
01.12.2016 19:30:00,Michał Janyszek,Session Reporter,"Michał Janyszek",,
01.12.2016 19:30:00,Michał Janyszek,Session Charter,"Chcę zalogować się do serwisu aby mieć dostęp do funkcjonalności",,
01.12.2016 19:30:05,Michał Janyszek,Setup,"Intel i5",,
01.12.2016 19:30:12,Michał Janyszek,Setup,"16 GB RAM",,
01.12.2016 19:30:16,Michał Janyszek,Setup,"SSD",,
01.12.2016 19:30:26,Michał Janyszek,Setup,"Windows 10 64-bit",,
01.12.2016 19:30:42,Michał Janyszek,Setup,"przeglądarka Chrome 53",,
01.12.2016 19:30:56,Michał Janyszek,autogenerated,"screenshot saved",1_20161201_193056.jpg,
01.12.2016 19:31:09,Michał Janyszek,Note,"Otworzyłem stronę logowania w przeglądarce",1_20161201_193056.jpg,
01.12.2016 19:31:29,Michał Janyszek,autogenerated,"screenshot saved",2_20161201_193129.jpg,
01.12.2016 19:31:46,Michał Janyszek,Note,"Wpisałem dane logowania a następnie klikam przycisk zaloguj",2_20161201_193129.jpg,
01.12.2016 19:31:53,Michał Janyszek,autogenerated,"screenshot saved",3_20161201_193153.jpg,
01.12.2016 19:32:05,Michał Janyszek,Note,"Udało się poprawnie zalogować do systemu",3_20161201_193153.jpg,
01.12.2016 19:32:07,Michał Janyszek,Session End. Duration,"00:02:07",,
