Time,Reporter,Type,Content,Screenshot,RTF Note
08.12.2016 21:59:17,Michał Janyszek,(Rapid Reporter version),"1.16.05.20",,
08.12.2016 21:59:17,Michał Janyszek,Session Reporter,"Michał Janyszek",,
08.12.2016 21:59:17,Michał Janyszek,Session Charter,"Usability test",,
08.12.2016 21:59:25,Michał Janyszek,Setup,"Intel i5",,
08.12.2016 21:59:32,Michał Janyszek,Setup,"Win 10 Pro",,
08.12.2016 21:59:40,Michał Janyszek,Setup,"16 GB RAM",,
08.12.2016 21:59:46,Michał Janyszek,Setup,"Chrome",,
08.12.2016 22:00:20,Michał Janyszek,Note,"Wykonałem pomyślnie wszystkie taski z zadania.",,
08.12.2016 22:01:06,Michał Janyszek,Note,"Niestety wideo nagrane przez program ze strony trymyui jest niedostępne.",,
08.12.2016 22:01:13,Michał Janyszek,autogenerated,"screenshot saved",1_20161208_220113.jpg,
08.12.2016 22:01:36,Michał Janyszek,Note,"Taka informacja widnieje od kilku godzin.",1_20161208_220113.jpg,
08.12.2016 22:02:19,Michał Janyszek,Note,"W przypadku pomyślnego przeprocesowania pliku zostanie on przeze mnie wrzucony do repozytorium.",,
08.12.2016 22:02:35,Michał Janyszek,Note,"Na chwilę obecną niestety nie mam takiej możliwości.",,
08.12.2016 22:02:39,Michał Janyszek,Session End. Duration,"00:03:22",,
